fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_write_ins,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
02901,ED 1,7210,3600,9,9,Released as a separate subtotal as first report of the night,98,7360,98%,98% reported,edison,10,all,,4000,,,3487,3293,414,16,1422,2009,163,6,2021-02-17T16:26:10Z,2.69071,R+3,Sullivan +3,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02910,ED 10,11095,5656,11,11,Released as a separate subtotal as first report of the night,99,11256,99%,99% reported,edison,10,all,,4000,,,7735,2742,598,20,3551,1870,229,6,2020-12-02T15:00:57Z,45.00225,R+45,Sullivan +45,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02911,ED 11,10582,5924,9,9,Released as a separate subtotal as first report of the night,99,10686,99%,99% reported,edison,10,unknown,,4000,,,7051,3047,476,8,3515,2183,226,0,2021-01-26T16:12:07Z,37.83784,R+38,Sullivan +38,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02912,ED 12,11137,5686,7,7,Released as a separate subtotal as first report of the night,99,11280,99%,99% reported,edison,10,unknown,,4000,,,7877,2824,425,11,3479,2021,186,0,2021-01-11T15:01:20Z,45.37128,R+45,Sullivan +45,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02913,ED 13,7464,4356,6,6,Released as a separate subtotal as first report of the night,96,7765,96%,96% reported,edison,10,unknown,,4000,,,4684,2400,372,8,2417,1748,191,0,2021-01-11T15:01:36Z,30.60021,R+31,Sullivan +31,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02914,ED 14,11432,7178,7,7,Released as a separate subtotal as first report of the night,99,11534,99%,99% reported,edison,10,unknown,,4000,,,7114,3894,415,9,3949,3012,217,0,2021-01-11T15:01:53Z,28.16655,R+28,Sullivan +28,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02915,ED 15,5375,3126,5,5,Released as a separate subtotal as first report of the night,96,5593,96%,96% reported,edison,10,unknown,,4000,,,2613,2449,308,5,1357,1614,155,0,2021-01-11T15:02:08Z,3.05116,R+3,Sullivan +3,republican,sullivand,alaska,2021-05-09T18:00:05.208314Z
02916,ED 16,8080,4608,7,7,Released as a separate subtotal as first report of the night,99,8170,99%,99% reported,edison,10,unknown,,4000,,,3545,4110,410,15,1578,2841,189,0,2021-01-26T16:15:34Z,6.99257,D+7,Gross +7,democrat,grossa,alaska,2021-05-09T18:00:05.208314Z
02917,ED 17,7182,4414,7,7,Released as a separate subtotal as first report of the night,99,7271,99%,99% reported,edison,10,unknown,,4000,,,2903,3951,315,13,1410,2866,138,0,2021-01-26T16:12:15Z,14.59204,D+15,Gross +15,democrat,grossa,alaska,2021-05-09T18:00:05.208314Z
02918,ED 18,7663,5083,10,10,Released as a separate subtotal as first report of the night,99,7759,99%,99% reported,edison,10,unknown,,4000,,,2807,4553,289,14,1526,3424,133,0,2021-01-26T16:12:22Z,22.78481,D+23,Gross +23,democrat,grossa,alaska,2021-05-09T18:00:05.208314Z
