fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kinzingera,results_brzozowskid,results_write_ins,results_absentee_kinzingera,results_absentee_brzozowskid,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17007,Boone,24558,0,37,38,Other,97,25386,97%,97% reported,edison,4,unknown,4522,15813,8745,0,0,0,0,2020-12-04T17:45:44Z,28.78085,R+29,Kinzinger +29,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17011,Bureau,17290,7351,47,50,Merged into voters' home precincts and released with cumulative results,94,18311,94%,94% reported,edison,4,some,3786,11541,5749,0,3970,3381,0,2020-12-04T19:58:41Z,33.49913,R+33,Kinzinger +33,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17037,DeKalb,27741,0,38,39,None,97,28716,97%,97% reported,edison,4,unknown,11174,13643,14061,37,0,0,0,2020-12-04T18:26:10Z,1.50679,D+1.5,Brzozowski +1.5,democrat,brzozowskid,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17053,Ford,3800,0,11,12,Merged into voters' home precincts and released with cumulative results,97,3927,97%,97% reported,edison,4,unknown,1058,3107,689,4,0,0,0,2020-12-04T19:59:54Z,63.63158,R+64,Kinzinger +64,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17063,Grundy,26066,0,40,40,Merged into voters' home precincts and released with cumulative results,100,25725,>98%,>98% reported,edison,6,unknown,5610,18108,7942,16,0,0,0,2020-12-04T20:00:32Z,39.001,R+39,Kinzinger +39,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17075,Iroquois,13845,0,35,37,Other,95,14513,95%,95% reported,edison,4,some,3459,11645,2186,14,0,0,0,2020-12-04T20:00:57Z,68.32069,R+68,Kinzinger +68,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17099,LaSalle,52220,0,109,119,Merged into voters' home precincts and released with cumulative results,95,55080,95%,95% reported,edison,2,unknown,7973,32214,19954,52,0,0,0,2020-12-04T20:01:34Z,23.47759,R+23,Kinzinger +23,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17103,Lee,15729,0,45,49,Merged into voters' home precincts and released with cumulative results,92,17093,92%,92% reported,edison,2,unknown,4965,10400,5319,10,0,0,0,2020-12-04T20:01:56Z,32.30339,R+32,Kinzinger +32,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17105,Livingston,16878,0,46,47,None,100,16753,>98%,>98% reported,edison,6,unknown,4304,13448,3430,0,0,0,0,2020-12-04T20:02:31Z,59.35537,R+59,Kinzinger +59,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17141,Ogle,26077,0,50,52,Merged into voters' home precincts and released with cumulative results,98,26696,98%,98% reported,edison,2,unknown,4760,18350,7706,21,0,0,0,2020-12-04T20:02:52Z,40.81758,R+41,Kinzinger +41,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17155,Putnam,3330,0,8,8,Merged into voters' home precincts and released with cumulative results,100,3286,>98%,>98% reported,edison,6,all,926,2133,1197,0,0,0,0,2020-12-04T20:03:16Z,28.10811,R+28,Kinzinger +28,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
17175,Stark,629,0,2,2,Released as a precinct at the end of tabulation,94,668,94%,94% reported,edison,2,unknown,509,488,140,1,0,0,0,2020-12-04T20:03:31Z,55.32591,R+55,Kinzinger +55,republican,kinzingera,IL-G-H-16-2020-11-03,il-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-rep,16,District 16,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",338320,14398,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,571,599,95% reporting,95%,97,350000,edison,97%,97% reported,edison,republican,FALSE,2020-12-04T20:03:32Z,TRUE,29.41771,99526,R+29,Kinzinger +29,republican,FALSE,"","",14,0,1604463656715
