fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_youngd,results_galvina,results_write_ins,results_absentee_youngd,results_absentee_galvina,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
02901,ED 1,7182,3594,9,9,Released as a separate subtotal as first report of the night,100,7182,100%,100% reported,edison,10,all,4000,3475,3683,24,1433,2153,8,2021-02-17T16:26:17Z,2.89613,D+3,Galvin +3,democrat,galvina,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02910,ED 10,11036,5642,11,11,Released as a separate subtotal as first report of the night,100,11036,100%,100% reported,edison,10,all,4000,7880,3114,42,3593,2028,21,2020-12-02T15:00:57Z,43.18594,R+43,Young +43,republican,youngd,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02911,ED 11,10549,5891,9,9,Released as a separate subtotal as first report of the night,100,10549,100%,100% reported,edison,10,unknown,4000,6963,3549,37,3473,2418,0,2021-01-26T16:12:10Z,32.36326,R+32,Young +32,republican,youngd,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02912,ED 12,11124,5656,7,7,Released as a separate subtotal as first report of the night,100,11124,100%,100% reported,edison,10,unknown,4000,7843,3234,47,3446,2210,0,2021-01-11T15:01:20Z,41.43294,R+41,Young +41,republican,youngd,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02913,ED 13,7429,4333,6,6,Released as a separate subtotal as first report of the night,100,7429,100%,100% reported,edison,10,unknown,4000,4605,2803,21,2367,1966,0,2021-01-11T15:01:36Z,24.25629,R+24,Young +24,republican,youngd,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02914,ED 14,11388,7152,7,7,Released as a separate subtotal as first report of the night,100,11388,100%,100% reported,edison,10,unknown,4000,6890,4462,36,3829,3323,0,2021-01-11T15:01:53Z,21.32069,R+21,Young +21,republican,youngd,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02915,ED 15,5366,3117,5,5,Released as a separate subtotal as first report of the night,100,5366,100%,100% reported,edison,10,unknown,4000,2621,2726,19,1349,1768,0,2021-01-11T15:02:08Z,1.95676,D+2.0,Galvin +2.0,democrat,galvina,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02916,ED 16,8043,4585,7,7,Released as a separate subtotal as first report of the night,100,8043,100%,100% reported,edison,10,unknown,4000,3577,4451,15,1563,3022,0,2021-01-26T16:15:34Z,10.86659,D+11,Galvin +11,democrat,galvina,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02917,ED 17,7148,4389,7,7,Released as a separate subtotal as first report of the night,100,7148,100%,100% reported,edison,10,unknown,4000,2897,4225,26,1394,2995,0,2021-01-26T16:12:13Z,18.57862,D+19,Galvin +19,democrat,galvina,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
02918,ED 18,7660,5069,10,10,Released as a separate subtotal as first report of the night,100,7660,100%,100% reported,edison,10,unknown,4000,2832,4799,29,1515,3554,0,2021-01-26T16:12:18Z,25.67885,D+26,Galvin +26,democrat,galvina,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",353165,180736,37,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,419,441,95% reporting,95%,100,353165,edison,100%,100% reported,edison,republican,FALSE,2021-01-11T18:41:16Z,TRUE,9.13737,32270,R+9,Young +9,republican,TRUE,"","",10,0,1605115341304,FALSE
