fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
23001,Androscoggin,58707,17223,24,24,,,,,"",edison,,,,,,,27617,29268,1105,603,108,6,10839,5901,254,202,27,0,2020-11-30T16:25:32Z,2.81227,R+3,Trump +3,republican,trumpd,2.81227,55601,9.4,52862,-12.78,maine,2021-05-09T22:23:11.710425Z
23003,Aroostook,35746,0,67,67,,,,,"",edison,,,,,,,13956,21080,421,233,52,4,0,0,0,0,0,0,2020-11-24T13:26:10Z,19.9295,R+20,Trump +20,republican,trumpd,19.9295,35097,17.2,33860,-7.62,maine,2021-05-09T22:23:11.710425Z
23005,Cumberland,193765,22550,49,49,,,,,"",edison,,,,,,,128759,59584,2957,2154,287,24,16907,5115,257,245,23,3,2020-11-24T13:26:10Z,35.70046,D+36,Biden +36,democrat,bidenj,-35.70046,171818,-26.3,163786,-26.94,maine,2021-05-09T22:23:11.710425Z
23007,Franklin,17390,0,22,22,,,,,"",edison,,,,,,,8069,8754,353,183,31,0,0,0,0,0,0,0,2021-01-11T19:55:59Z,3.93905,R+4,Trump +4,republican,trumpd,3.93905,16488,5.5,16282,-18.41,maine,2021-05-09T22:23:11.710425Z
23009,Hancock,35325,3317,42,42,,,,,"",edison,,,,,,,19369,14982,549,380,41,4,1866,1333,72,39,7,0,2021-01-11T19:19:59Z,12.41897,D+12,Biden +12,democrat,bidenj,-12.41897,32130,-7.5,30799,-17.03,maine,2021-05-09T22:23:11.710425Z
23011,Kennebec,71858,816,32,32,,,,,"",edison,,,,,,,34902,34721,1406,730,91,8,414,380,14,8,0,0,2020-11-24T13:26:18Z,0.25189,D+0.25,Biden +0.25,democrat,bidenj,-0.25189,66208,3.6,63497,-13.46,maine,2021-05-09T22:23:11.710425Z
23013,Knox,25734,0,18,18,,,,,"",edison,,,,,,,15110,9982,355,248,34,5,0,0,0,0,0,0,2020-11-24T13:26:11Z,19.92694,D+20,Biden +20,democrat,bidenj,-19.92694,23147,-14.2,22067,-22.54,maine,2021-05-09T22:23:11.710425Z
23015,Lincoln,23594,1826,19,19,,,,,"",edison,,,,,,,12684,10256,420,199,35,0,1307,479,19,16,5,0,2020-12-01T14:50:33Z,10.29075,D+10,Biden +10,democrat,bidenj,-10.29075,21503,-2.4,20757,-11.64,maine,2021-05-09T22:23:11.710425Z
23017,Oxford,33492,0,37,37,,,,,"",edison,,,,,,,14755,17698,650,347,41,1,0,0,0,0,0,0,2020-11-24T13:26:13Z,8.78717,R+9,Trump +9,republican,trumpd,8.78717,31201,12.9,29420,-14.73,maine,2021-05-09T22:23:11.710425Z
23019,Penobscot,85269,4188,61,61,,,,,"",edison,,,,,,,37713,44825,1854,746,125,6,3040,980,99,62,7,0,2020-11-24T13:26:09Z,8.34066,R+8,Trump +8,republican,trumpd,8.34066,80540,10.9,77306,-2.93,maine,2021-05-09T22:23:11.710425Z
23021,Piscataquis,9908,0,20,20,,,,,"",edison,,,,,,,3517,6143,173,60,12,3,0,0,0,0,0,0,2020-11-24T13:26:15Z,26.50384,R+27,Trump +27,republican,trumpd,26.50384,9182,25.1,8955,4.25,maine,2021-05-09T22:23:11.710425Z
23023,Sagadahoc,24038,0,10,10,,,,,"",edison,,,,,,,13528,9755,473,249,31,2,0,0,0,0,0,0,2020-11-24T13:26:45Z,15.69598,D+16,Biden +16,democrat,bidenj,-15.69598,21616,-6.3,20794,-16.31,maine,2021-05-09T22:23:11.710425Z
23025,Somerset,27578,1520,34,34,,,,,"",edison,,,,,,,10199,16644,466,230,32,7,917,563,16,15,7,2,2020-11-24T13:26:10Z,23.37008,R+23,Trump +23,republican,trumpd,23.37008,26064,22.7,24787,-1.68,maine,2021-05-09T22:23:11.710425Z
23027,Waldo,24320,0,28,28,,,,,"",edison,,,,,,,12345,11196,402,347,29,1,0,0,0,0,0,0,2020-11-24T13:26:44Z,4.72451,D+5,Biden +5,democrat,bidenj,-4.72451,22707,-0.3,21061,-10.63,maine,2021-05-09T22:23:11.710425Z
23029,Washington,17357,0,46,46,,,,,"",edison,,,,,,,6761,10194,232,143,22,5,0,0,0,0,0,0,2021-01-11T19:55:25Z,19.77876,R+20,Trump +20,republican,trumpd,19.77876,16365,18.4,15836,-1.6,maine,2021-05-09T22:23:11.710425Z
23031,York,129659,8422,43,43,,,,,"",edison,,,,,,,71189,54817,2189,1259,200,5,5506,2696,113,85,22,0,2020-11-30T15:46:40Z,12.62697,D+13,Biden +13,democrat,bidenj,-12.62697,114274,-4.8,108057,-16.33,maine,2021-05-09T22:23:11.710425Z
